id,2010_Total_auto,2010_Total_carpool,2010_Total_transit,2010_Total_walked,2010_Total_bike,2010_Total_telecommute
834800,208,115,156,0,0,17
834900,117,84,194,0,37,44
835000,880,277,336,90,0,60
835100,1309,175,342,28,38,7
835200,291,74,207,52,0,0
835500,212,25,184,13,10,31
835600,52,36,62,39,11,31
835800,439,41,141,25,0,18
835900,560,73,534,29,10,19
836000,663,40,285,27,0,22
836100,253,62,324,0,0,4
836200,49,9,22,39,4,9
836300,204,33,206,159,64,21
836400,637,40,386,48,24,82
836500,174,77,237,0,3,32
836600,538,32,234,19,87,32
836700,359,47,183,16,26,54
836800,393,20,165,53,16,16
836900,311,73,192,22,13,29
837000,364,17,316,72,40,52
837100,374,10,178,27,18,60
837300,262,5,139,80,7,37
837400,312,11,86,0,0,12
837800,654,144,339,56,32,31
838000,426,150,279,83,21,44
838100,256,71,347,255,19,36
838200,186,91,103,87,25,13
838300,295,12,146,193,27,20
838600,166,4,141,7,30,0
838700,385,0,412,14,63,46
838800,537,129,307,0,0,52
839000,1241,148,999,1507,87,370
839100,284,147,339,1389,108,96
839200,440,78,522,29,10,51
839500,340,8,105,20,0,100
839600,422,14,138,74,40,19
839700,1238,251,385,61,92,20
839800,783,206,339,120,131,72
839900,1298,202,176,132,18,43
840000,699,316,195,17,43,0
840100,415,190,268,118,22,26
840200,481,245,469,45,42,50
840300,717,416,564,26,25,48
840400,547,203,387,101,24,22
840700,531,377,411,87,144,106
840800,531,392,216,43,10,31
841000,188,22,84,19,0,6
841100,956,550,984,306,28,235
841200,1072,454,611,84,59,92
841300,773,218,495,188,42,17
841400,130,18,113,0,0,26
841500,244,43,166,13,16,27
841600,31,0,100,21,0,28
841700,217,23,97,25,40,9
841800,426,44,184,4,0,43
841900,1018,83,469,233,43,73
842000,276,38,109,149,7,13
842100,1357,343,441,70,110,30
842200,566,79,507,332,105,115
842300,740,58,635,290,255,194
842400,378,99,510,0,12,66
842500,228,16,309,0,0,13
842600,1102,300,322,111,11,29
842800,1868,257,302,262,0,35
842900,277,89,254,23,12,0
843000,276,47,184,0,12,22
843100,263,6,235,35,5,30
843200,698,249,222,49,43,14
843300,273,0,161,0,13,0
843400,283,52,216,9,35,19
843500,258,48,96,0,0,41
843600,491,47,235,17,33,43
843700,674,73,289,32,17,104
843800,295,22,251,6,0,1
843900,756,164,526,63,28,67
530501,984,91,363,35,0,66
530502,257,68,72,0,0,0
530503,1244,225,464,88,9,103
530600,559,44,455,26,0,15
540101,339,102,209,78,0,0
540102,251,5,285,53,6,73
830500,881,305,350,171,45,16
830600,1116,317,1111,149,76,155
830700,507,98,936,43,49,109
830800,632,97,781,95,77,66
830900,1040,74,497,75,42,25
